questionId,model,repeatIndex,correctAnswer,predictedAnswer,isCorrect,latencyMs,error
PT17-S2-Q22,openai/gpt-5.2-chat,1,D,D,true,1922,
PT17-S2-Q22,openai/gpt-5.2-chat,2,D,E,false,428,
PT17-S2-Q22,openai/gpt-5.2-chat,3,D,E,false,541,
PT158-S2-Q10,openai/gpt-5.2-chat,1,E,D,false,465,
PT158-S2-Q10,openai/gpt-5.2-chat,2,E,,false,0,fetch failed
PT158-S2-Q10,openai/gpt-5.2-chat,3,E,E,true,1047,
PT158-S2-Q2,openai/gpt-5.2-chat,1,A,A,true,405,
PT158-S2-Q2,openai/gpt-5.2-chat,2,A,A,true,648,
PT158-S2-Q2,openai/gpt-5.2-chat,3,A,A,true,399,
PT158-S3-Q14,openai/gpt-5.2-chat,1,C,C,true,425,
PT158-S3-Q14,openai/gpt-5.2-chat,2,C,C,true,475,
PT158-S3-Q14,openai/gpt-5.2-chat,3,C,C,true,416,
PT158-S3-Q07,openai/gpt-5.2-chat,1,C,C,true,431,
PT158-S3-Q07,openai/gpt-5.2-chat,2,C,C,true,467,
PT158-S3-Q07,openai/gpt-5.2-chat,3,C,C,true,474,
PT158-S3-Q17,openai/gpt-5.2-chat,1,D,D,true,371,
PT158-S3-Q17,openai/gpt-5.2-chat,2,D,D,true,448,
PT158-S3-Q17,openai/gpt-5.2-chat,3,D,D,true,483,
PT147-S3-Q12,openai/gpt-5.2-chat,1,D,D,true,510,
PT147-S3-Q12,openai/gpt-5.2-chat,2,D,D,true,384,
PT147-S3-Q12,openai/gpt-5.2-chat,3,D,D,true,446,
PT147-S1-Q3,openai/gpt-5.2-chat,1,A,A,true,405,
PT147-S1-Q3,openai/gpt-5.2-chat,2,A,A,true,447,
PT147-S1-Q3,openai/gpt-5.2-chat,3,A,A,true,490,
PT158-S3-Q21,openai/gpt-5.2-chat,1,E,C,false,388,
PT158-S3-Q21,openai/gpt-5.2-chat,2,E,C,false,450,
PT158-S3-Q21,openai/gpt-5.2-chat,3,E,C,false,372,
PT158-S2-Q01,openai/gpt-5.2-chat,1,D,D,true,441,
PT158-S2-Q01,openai/gpt-5.2-chat,2,D,D,true,419,
PT158-S2-Q01,openai/gpt-5.2-chat,3,D,D,true,408,
PT158-S4-Q25,openai/gpt-5.2-chat,1,D,D,true,394,
PT158-S4-Q25,openai/gpt-5.2-chat,2,D,D,true,381,
PT158-S4-Q25,openai/gpt-5.2-chat,3,D,D,true,421,
PT147-S3-Q5,openai/gpt-5.2-chat,1,E,E,true,403,
PT147-S3-Q5,openai/gpt-5.2-chat,2,E,E,true,1332,
PT147-S3-Q5,openai/gpt-5.2-chat,3,E,E,true,397,
PT158-S4-Q26,openai/gpt-5.2-chat,1,B,B,true,424,
PT158-S4-Q26,openai/gpt-5.2-chat,2,B,B,true,528,
PT158-S4-Q26,openai/gpt-5.2-chat,3,B,B,true,797,
PT158-S2-Q16,openai/gpt-5.2-chat,1,C,C,true,408,
PT158-S2-Q16,openai/gpt-5.2-chat,2,C,C,true,415,
PT158-S2-Q16,openai/gpt-5.2-chat,3,C,C,true,410,
PT158-S2-Q09,openai/gpt-5.2-chat,1,C,C,true,917,
PT158-S2-Q09,openai/gpt-5.2-chat,2,C,C,true,1434,
PT158-S2-Q09,openai/gpt-5.2-chat,3,C,C,true,421,
PT158-S3-Q22,openai/gpt-5.2-chat,1,C,C,true,446,
PT158-S3-Q22,openai/gpt-5.2-chat,2,C,C,true,411,
PT158-S3-Q22,openai/gpt-5.2-chat,3,C,C,true,469,
PT158-S4-Q17,openai/gpt-5.2-chat,1,D,D,true,617,
PT158-S4-Q17,openai/gpt-5.2-chat,2,D,D,true,449,
PT158-S4-Q17,openai/gpt-5.2-chat,3,D,D,true,453,
PT17-S2-Q22,anthropic/claude-sonnet-4.5,1,D,E,false,1198,
PT17-S2-Q22,anthropic/claude-sonnet-4.5,2,D,E,false,1228,
PT17-S2-Q22,anthropic/claude-sonnet-4.5,3,D,E,false,1516,
PT158-S2-Q10,anthropic/claude-sonnet-4.5,1,E,E,true,1108,
PT158-S2-Q10,anthropic/claude-sonnet-4.5,2,E,E,true,1022,
PT158-S2-Q10,anthropic/claude-sonnet-4.5,3,E,E,true,1289,
PT158-S2-Q2,anthropic/claude-sonnet-4.5,1,A,A,true,1163,
PT158-S2-Q2,anthropic/claude-sonnet-4.5,2,A,A,true,1187,
PT158-S2-Q2,anthropic/claude-sonnet-4.5,3,A,A,true,1227,
PT158-S3-Q14,anthropic/claude-sonnet-4.5,1,C,C,true,779,
PT158-S3-Q14,anthropic/claude-sonnet-4.5,2,C,C,true,1053,
PT158-S3-Q14,anthropic/claude-sonnet-4.5,3,C,C,true,954,
PT158-S3-Q07,anthropic/claude-sonnet-4.5,1,C,C,true,1228,
PT158-S3-Q07,anthropic/claude-sonnet-4.5,2,C,C,true,1457,
PT158-S3-Q07,anthropic/claude-sonnet-4.5,3,C,C,true,1107,
PT158-S3-Q17,anthropic/claude-sonnet-4.5,1,D,D,true,914,
PT158-S3-Q17,anthropic/claude-sonnet-4.5,2,D,D,true,1091,
PT158-S3-Q17,anthropic/claude-sonnet-4.5,3,D,D,true,1127,
PT147-S3-Q12,anthropic/claude-sonnet-4.5,1,D,D,true,1109,
PT147-S3-Q12,anthropic/claude-sonnet-4.5,2,D,D,true,1126,
PT147-S3-Q12,anthropic/claude-sonnet-4.5,3,D,D,true,1093,
PT147-S1-Q3,anthropic/claude-sonnet-4.5,1,A,A,true,1141,
PT147-S1-Q3,anthropic/claude-sonnet-4.5,2,A,A,true,1244,
PT147-S1-Q3,anthropic/claude-sonnet-4.5,3,A,A,true,1319,
PT158-S3-Q21,anthropic/claude-sonnet-4.5,1,E,E,true,1278,
PT158-S3-Q21,anthropic/claude-sonnet-4.5,2,E,E,true,928,
PT158-S3-Q21,anthropic/claude-sonnet-4.5,3,E,E,true,890,
PT158-S2-Q01,anthropic/claude-sonnet-4.5,1,D,D,true,1191,
PT158-S2-Q01,anthropic/claude-sonnet-4.5,2,D,D,true,1053,
PT158-S2-Q01,anthropic/claude-sonnet-4.5,3,D,D,true,1214,
PT158-S4-Q25,anthropic/claude-sonnet-4.5,1,D,D,true,786,
PT158-S4-Q25,anthropic/claude-sonnet-4.5,2,D,D,true,855,
PT158-S4-Q25,anthropic/claude-sonnet-4.5,3,D,D,true,920,
PT147-S3-Q5,anthropic/claude-sonnet-4.5,1,E,E,true,823,
PT147-S3-Q5,anthropic/claude-sonnet-4.5,2,E,E,true,827,
PT147-S3-Q5,anthropic/claude-sonnet-4.5,3,E,E,true,1139,
PT158-S4-Q26,anthropic/claude-sonnet-4.5,1,B,B,true,909,
PT158-S4-Q26,anthropic/claude-sonnet-4.5,2,B,B,true,920,
PT158-S4-Q26,anthropic/claude-sonnet-4.5,3,B,B,true,781,
PT158-S2-Q16,anthropic/claude-sonnet-4.5,1,C,C,true,1164,
PT158-S2-Q16,anthropic/claude-sonnet-4.5,2,C,C,true,1208,
PT158-S2-Q16,anthropic/claude-sonnet-4.5,3,C,C,true,827,
PT158-S2-Q09,anthropic/claude-sonnet-4.5,1,C,C,true,1160,
PT158-S2-Q09,anthropic/claude-sonnet-4.5,2,C,C,true,861,
PT158-S2-Q09,anthropic/claude-sonnet-4.5,3,C,C,true,903,
PT158-S3-Q22,anthropic/claude-sonnet-4.5,1,C,C,true,1146,
PT158-S3-Q22,anthropic/claude-sonnet-4.5,2,C,C,true,1126,
PT158-S3-Q22,anthropic/claude-sonnet-4.5,3,C,C,true,912,
PT158-S4-Q17,anthropic/claude-sonnet-4.5,1,D,D,true,788,
PT158-S4-Q17,anthropic/claude-sonnet-4.5,2,D,D,true,1437,
PT158-S4-Q17,anthropic/claude-sonnet-4.5,3,D,D,true,800,
PT17-S2-Q22,meituan/longcat-flash-chat,1,D,D,true,942,
PT17-S2-Q22,meituan/longcat-flash-chat,2,D,D,true,1937,
PT17-S2-Q22,meituan/longcat-flash-chat,3,D,D,true,1176,
PT158-S2-Q10,meituan/longcat-flash-chat,1,E,D,false,865,
PT158-S2-Q10,meituan/longcat-flash-chat,2,E,D,false,1578,
PT158-S2-Q10,meituan/longcat-flash-chat,3,E,D,false,1349,
PT158-S2-Q2,meituan/longcat-flash-chat,1,A,A,true,938,
PT158-S2-Q2,meituan/longcat-flash-chat,2,A,A,true,666,
PT158-S2-Q2,meituan/longcat-flash-chat,3,A,A,true,921,
PT158-S3-Q14,meituan/longcat-flash-chat,1,C,C,true,1226,
PT158-S3-Q14,meituan/longcat-flash-chat,2,C,C,true,800,
PT158-S3-Q14,meituan/longcat-flash-chat,3,C,C,true,862,
PT158-S3-Q07,meituan/longcat-flash-chat,1,C,C,true,1125,
PT158-S3-Q07,meituan/longcat-flash-chat,2,C,C,true,820,
PT158-S3-Q07,meituan/longcat-flash-chat,3,C,C,true,854,
PT158-S3-Q17,meituan/longcat-flash-chat,1,D,D,true,1173,
PT158-S3-Q17,meituan/longcat-flash-chat,2,D,D,true,724,
PT158-S3-Q17,meituan/longcat-flash-chat,3,D,D,true,659,
PT147-S3-Q12,meituan/longcat-flash-chat,1,D,D,true,913,
PT147-S3-Q12,meituan/longcat-flash-chat,2,D,D,true,770,
PT147-S3-Q12,meituan/longcat-flash-chat,3,D,D,true,663,
PT147-S1-Q3,meituan/longcat-flash-chat,1,A,A,true,786,
PT147-S1-Q3,meituan/longcat-flash-chat,2,A,A,true,930,
PT147-S1-Q3,meituan/longcat-flash-chat,3,A,A,true,920,
PT158-S3-Q21,meituan/longcat-flash-chat,1,E,B,false,639,
PT158-S3-Q21,meituan/longcat-flash-chat,2,E,B,false,831,
PT158-S3-Q21,meituan/longcat-flash-chat,3,E,B,false,686,
PT158-S2-Q01,meituan/longcat-flash-chat,1,D,D,true,899,
PT158-S2-Q01,meituan/longcat-flash-chat,2,D,D,true,899,
PT158-S2-Q01,meituan/longcat-flash-chat,3,D,D,true,1116,
PT158-S4-Q25,meituan/longcat-flash-chat,1,D,D,true,1699,
PT158-S4-Q25,meituan/longcat-flash-chat,2,D,D,true,897,
PT158-S4-Q25,meituan/longcat-flash-chat,3,D,D,true,980,
PT147-S3-Q5,meituan/longcat-flash-chat,1,E,E,true,651,
PT147-S3-Q5,meituan/longcat-flash-chat,2,E,E,true,1067,
PT147-S3-Q5,meituan/longcat-flash-chat,3,E,E,true,708,
PT158-S4-Q26,meituan/longcat-flash-chat,1,B,B,true,765,
PT158-S4-Q26,meituan/longcat-flash-chat,2,B,B,true,716,
PT158-S4-Q26,meituan/longcat-flash-chat,3,B,B,true,715,
PT158-S2-Q16,meituan/longcat-flash-chat,1,C,C,true,1024,
PT158-S2-Q16,meituan/longcat-flash-chat,2,C,C,true,813,
PT158-S2-Q16,meituan/longcat-flash-chat,3,C,C,true,724,
PT158-S2-Q09,meituan/longcat-flash-chat,1,C,C,true,886,
PT158-S2-Q09,meituan/longcat-flash-chat,2,C,C,true,819,
PT158-S2-Q09,meituan/longcat-flash-chat,3,C,C,true,901,
PT158-S3-Q22,meituan/longcat-flash-chat,1,C,C,true,881,
PT158-S3-Q22,meituan/longcat-flash-chat,2,C,C,true,947,
PT158-S3-Q22,meituan/longcat-flash-chat,3,C,C,true,1740,
PT158-S4-Q17,meituan/longcat-flash-chat,1,D,D,true,618,
PT158-S4-Q17,meituan/longcat-flash-chat,2,D,D,true,888,
PT158-S4-Q17,meituan/longcat-flash-chat,3,D,D,true,772,